,spotify_rank,song_name,artist,spotify_stream_count,peak_rank,previous_rank,streak_list,list_date
101,102,Buy Dirt,"Jordan Davis, Luke Bryan","285,236",58,102,81,03/16/2022
102,103,What Else Can I Do?,"Diane Guerrero, Stephanie Beatriz","284,436",14,103,80,03/16/2022
103,104,Redbone,Childish Gambino,"281,773",8,147,81,03/16/2022
104,105,Martin & Gina,Polo G,"281,643",21,104,81,03/16/2022
105,106,Bones,Imagine Dragons,"281,574",50,90,6,03/16/2022
106,107,Whiskey Glasses,Morgan Wallen,"281,062",53,124,81,03/16/2022
107,108,The Real Slim Shady,Eminem,"279,398",16,110,55,03/16/2022
108,109,DÁKITI,"Bad Bunny, Jhay Cortez","279,354",1,114,81,03/16/2022
109,110,Still D.R.E.,"Dr. Dre, Snoop Dogg","278,473",2,108,34,03/16/2022
110,111,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas","278,410",9,109,51,03/16/2022
111,112,Save Your Tears,The Weeknd,"277,959",2,106,80,03/16/2022
112,113,MONTERO (Call Me By Your Name),Lil Nas X,"276,897",1,115,356,03/16/2022
113,114,Daddy Issues,The Neighbourhood,"276,405",50,107,81,03/16/2022
114,115,Work Out,J. Cole,"274,535",96,121,80,03/16/2022
115,116,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna","272,423",1,117,81,03/16/2022
116,117,Good Days,SZA,"272,046",1,118,81,03/16/2022
117,118,Infinity,Jaymes Young,"271,569",55,111,81,03/16/2022
118,119,Mr. Rager,Kid Cudi,"271,306",65,112,81,03/16/2022
119,120,Smells Like Teen Spirit,Nirvana,"271,163",86,123,16,03/16/2022
120,121,Sand In My Boots,Morgan Wallen,"269,118",4,128,30,03/16/2022
121,122,Tell Em,"Cochise, $NOT","268,680",26,120,81,03/16/2022
122,123,Without Me,Eminem,"268,535",29,127,44,03/16/2022
123,124,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,"266,749",9,126,34,03/16/2022
124,125,Wet Dreamz,J. Cole,"266,096",93,131,31,03/16/2022
125,126,Ni**as In Paris,"JAY-Z, Kanye West","265,765",97,130,36,03/16/2022
126,127,The Way Life Goes (feat. Oh Wonder),"Lil Uzi Vert, Oh Wonder","265,725",4,129,81,03/16/2022
127,128,Rumors (feat. Lil Durk),"Gucci Mane, Lil Durk","265,323",54,119,48,03/16/2022
128,129,The Motto,"Tiësto, Ava Max","265,271",85,125,27,03/16/2022
129,130,City of Gods,"Fivio Foreign, Kanye West, Alicia Keys","264,831",2,116,34,03/16/2022
130,131,Father Stretch My Hands Pt. 1,Kanye West,"264,773",109,122,17,03/16/2022
