,song_ID,rank,date_retrieved,provider_ID
59,23,60.0,03/16/2022,1
60,7,61.0,03/16/2022,1
61,75,62.0,03/16/2022,1
62,220,63.0,03/16/2022,1
63,87,64.0,03/16/2022,1
64,158,65.0,03/16/2022,1
65,3,66.0,03/16/2022,1
66,217,67.0,03/16/2022,1
67,237,68.0,03/16/2022,1
68,17,69.0,03/16/2022,1
69,191,70.0,03/16/2022,1
70,241,71.0,03/16/2022,1
71,109,72.0,03/16/2022,1
72,15,73.0,03/16/2022,1
73,234,74.0,03/16/2022,1
74,128,75.0,03/16/2022,1
75,160,76.0,03/16/2022,1
76,185,77.0,03/16/2022,1
77,44,78.0,03/16/2022,1
78,72,79.0,03/16/2022,1
79,206,80.0,03/16/2022,1
80,34,81.0,03/16/2022,1
81,147,82.0,03/16/2022,1
82,152,83.0,03/16/2022,1
83,157,84.0,03/16/2022,1
84,118,85.0,03/16/2022,1
85,131,86.0,03/16/2022,1
86,73,87.0,03/16/2022,1
87,236,88.0,03/16/2022,1
88,9,89.0,03/16/2022,1
89,4,90.0,03/16/2022,1
90,177,91.0,03/16/2022,1
91,102,92.0,03/16/2022,1
92,26,93.0,03/16/2022,1
93,125,94.0,03/16/2022,1
94,13,95.0,03/16/2022,1
95,8,96.0,03/16/2022,1
96,242,97.0,03/16/2022,1
97,12,98.0,03/16/2022,1
98,63,99.0,03/16/2022,1
99,170,100.0,03/16/2022,1
100,224,101.0,03/16/2022,1
101,29,102.0,03/16/2022,1
102,223,103.0,03/16/2022,1
103,159,104.0,03/16/2022,1
104,123,105.0,03/16/2022,1
105,25,106.0,03/16/2022,1
106,225,107.0,03/16/2022,1
107,205,108.0,03/16/2022,1
108,54,109.0,03/16/2022,1
109,189,110.0,03/16/2022,1
110,111,111.0,03/16/2022,1
111,169,112.0,03/16/2022,1
112,122,113.0,03/16/2022,1
113,43,114.0,03/16/2022,1
114,231,115.0,03/16/2022,1
115,53,116.0,03/16/2022,1
116,80,117.0,03/16/2022,1
117,99,118.0,03/16/2022,1
118,132,119.0,03/16/2022,1
119,179,120.0,03/16/2022,1
120,168,121.0,03/16/2022,1
121,198,122.0,03/16/2022,1
122,229,123.0,03/16/2022,1
123,113,124.0,03/16/2022,1
124,222,125.0,03/16/2022,1
125,139,126.0,03/16/2022,1
126,207,127.0,03/16/2022,1
127,164,128.0,03/16/2022,1
128,203,129.0,03/16/2022,1
129,36,130.0,03/16/2022,1
130,66,131.0,03/16/2022,1
131,51,132.0,03/16/2022,1
132,213,133.0,03/16/2022,1
133,117,134.0,03/16/2022,1
134,2,135.0,03/16/2022,1
135,74,136.0,03/16/2022,1
136,144,137.0,03/16/2022,1
137,35,138.0,03/16/2022,1
138,226,139.0,03/16/2022,1
139,156,140.0,03/16/2022,1
140,165,141.0,03/16/2022,1
141,190,142.0,03/16/2022,1
142,175,143.0,03/16/2022,1
143,47,144.0,03/16/2022,1
144,240,145.0,03/16/2022,1
145,78,146.0,03/16/2022,1
146,153,147.0,03/16/2022,1
147,84,148.0,03/16/2022,1
148,248,149.0,03/16/2022,1
149,10,150.0,03/16/2022,1
150,50,151.0,03/16/2022,1
151,100,152.0,03/16/2022,1
152,233,153.0,03/16/2022,1
153,14,154.0,03/16/2022,1
154,60,155.0,03/16/2022,1
155,69,156.0,03/16/2022,1
156,202,157.0,03/16/2022,1
157,180,158.0,03/16/2022,1
158,201,159.0,03/16/2022,1
159,187,160.0,03/16/2022,1
160,161,161.0,03/16/2022,1
161,254,162.0,03/16/2022,1
162,235,163.0,03/16/2022,1
163,120,164.0,03/16/2022,1
164,127,165.0,03/16/2022,1
165,253,166.0,03/16/2022,1
166,55,167.0,03/16/2022,1
167,107,168.0,03/16/2022,1
168,244,169.0,03/16/2022,1
169,246,170.0,03/16/2022,1
170,33,171.0,03/16/2022,1
171,40,172.0,03/16/2022,1
172,101,173.0,03/16/2022,1
173,46,174.0,03/16/2022,1
174,249,175.0,03/16/2022,1
175,155,176.0,03/16/2022,1
176,214,177.0,03/16/2022,1
177,204,178.0,03/16/2022,1
178,238,179.0,03/16/2022,1
179,186,180.0,03/16/2022,1
180,58,181.0,03/16/2022,1
181,112,182.0,03/16/2022,1
182,70,183.0,03/16/2022,1
183,1,184.0,03/16/2022,1
184,228,185.0,03/16/2022,1
185,247,186.0,03/16/2022,1
186,65,187.0,03/16/2022,1
187,106,188.0,03/16/2022,1
188,199,189.0,03/16/2022,1
189,173,190.0,03/16/2022,1
190,252,191.0,03/16/2022,1
191,91,192.0,03/16/2022,1
192,149,193.0,03/16/2022,1
193,42,194.0,03/16/2022,1
194,31,195.0,03/16/2022,1
195,115,196.0,03/16/2022,1
196,218,197.0,03/16/2022,1
197,137,198.0,03/16/2022,1
198,162,199.0,03/16/2022,1
199,90,200.0,03/16/2022,1
200,88,32.0,03/20/2022,2
201,192,3.0,03/20/2022,2
202,221,19.0,03/20/2022,2
203,183,52.0,03/20/2022,2
204,250,7.0,03/20/2022,2
205,196,54.0,03/20/2022,2
206,76,78.0,03/20/2022,2
207,239,58.0,03/20/2022,2
208,143,61.0,03/20/2022,2
209,134,53.0,03/20/2022,2
210,174,81.0,03/20/2022,2
211,119,28.0,03/20/2022,2
212,114,41.0,03/20/2022,2
213,129,89.0,03/20/2022,2
214,57,47.0,03/20/2022,2
215,28,14.0,03/20/2022,2
216,163,44.0,03/20/2022,2
217,151,22.0,03/20/2022,2
218,215,40.0,03/20/2022,2
219,200,62.0,03/20/2022,2
220,92,33.0,03/20/2022,2
221,68,73.0,03/20/2022,2
222,23,79.0,03/20/2022,2
223,7,2.0,03/20/2022,2
224,75,82.0,03/20/2022,2
225,217,70.0,03/20/2022,2
226,17,25.0,03/20/2022,2
227,152,83.0,03/20/2022,2
228,236,66.0,03/20/2022,2
229,125,27.0,03/20/2022,2
230,224,1.0,03/20/2022,2
231,223,96.0,03/20/2022,2
232,225,65.0,03/20/2022,2
233,54,48.0,03/20/2022,2
234,168,84.0,03/20/2022,2
235,164,43.0,03/20/2022,2
236,36,75.0,03/20/2022,2
237,226,38.0,03/20/2022,2
238,153,5.0,03/20/2022,2
239,50,36.0,03/20/2022,2
240,155,80.0,03/20/2022,2
241,70,59.0,03/20/2022,2
242,1,67.0,03/20/2022,2
243,91,23.0,03/20/2022,2
244,31,60.0,03/20/2022,2
245,141,4.0,03/20/2022,2
246,79,6.0,03/20/2022,2
247,18,8.0,03/20/2022,2
248,176,9.0,03/20/2022,2
249,181,10.0,03/20/2022,2
250,86,11.0,03/20/2022,2
251,188,12.0,03/20/2022,2
252,41,13.0,03/20/2022,2
253,81,15.0,03/20/2022,2
254,24,16.0,03/20/2022,2
255,48,17.0,03/20/2022,2
256,208,18.0,03/20/2022,2
257,22,20.0,03/20/2022,2
258,67,21.0,03/20/2022,2
259,104,24.0,03/20/2022,2
260,154,26.0,03/20/2022,2
261,178,29.0,03/20/2022,2
262,83,30.0,03/20/2022,2
263,150,31.0,03/20/2022,2
264,93,34.0,03/20/2022,2
265,184,35.0,03/20/2022,2
266,219,37.0,03/20/2022,2
267,49,39.0,03/20/2022,2
268,166,42.0,03/20/2022,2
269,193,45.0,03/20/2022,2
270,38,46.0,03/20/2022,2
271,5,49.0,03/20/2022,2
272,116,50.0,03/20/2022,2
273,77,51.0,03/20/2022,2
274,135,55.0,03/20/2022,2
275,227,56.0,03/20/2022,2
276,62,57.0,03/20/2022,2
277,89,63.0,03/20/2022,2
278,142,64.0,03/20/2022,2
279,172,68.0,03/20/2022,2
280,216,69.0,03/20/2022,2
281,97,71.0,03/20/2022,2
282,71,72.0,03/20/2022,2
283,124,74.0,03/20/2022,2
284,95,76.0,03/20/2022,2
285,138,77.0,03/20/2022,2
286,32,85.0,03/20/2022,2
287,232,86.0,03/20/2022,2
288,30,87.0,03/20/2022,2
289,37,88.0,03/20/2022,2
290,64,90.0,03/20/2022,2
291,19,91.0,03/20/2022,2
292,140,92.0,03/20/2022,2
293,56,93.0,03/20/2022,2
294,61,94.0,03/20/2022,2
295,110,95.0,03/20/2022,2
296,52,97.0,03/20/2022,2
297,212,98.0,03/20/2022,2
298,211,99.0,03/20/2022,2
299,11,100.0,03/20/2022,2
